Gene = AT2G40840
index = 483
Annotated 5SS: [ 255  799 1010 1176 1404 1634 1913 2315 2431 2767 2991 3193 3536 3737
 3890 4076 4336 4564 4897 5084 5406 5600]
Annotated 3SS: [ 432  891 1119 1275 1506 1715 2235 2391 2646 2888 3108 3292 3610 3814
 4003 4215 4465 4736 4984 5207 5505 5677]
SMsplice 5SS: [ 367  799 1010 1176 1404 1634 1913 2315 2767 2991 3193 3536 3737 3890
 4076 4336 4564 4897 5084 5406 5600]
SMsplice 3SS: [ 448  891 1119 1275 1512 1715 2235 2646 2910 3108 3292 3610 3814 4003
 4215 4465 4722 4984 5207 5505 5677]
length: 6131
Partition function (logZ) = 60.47258554126922
#Exons = 67798
3SS, 5SS, prob
5677, -1, 0.9975729788681842
3814, 3890, 0.9943922269318514
5505, 5600, 0.9904416625564502
1119, 1176, 0.9646320933893922
2235, 2315, 0.9423721547027055
5207, 5406, 0.9358387320987642
4003, 4076, 0.9215405278596392
891, 1010, 0.9084177221577815
1715, 1913, 0.868292830873387
1275, 1634, 0.8581600723057224
4465, 4564, 0.8237839149243185
4215, 4336, 0.7564677509314727
3108, 3193, 0.7107546524530021
0, 367, 0.7028342120076254
4984, 5084, 0.6189818128137672
2646, 2767, 0.5509087028458092
3292, 3536, 0.5124460289702274
2910, 2991, 0.44773996137473515
3610, 3737, 0.42840673419224495
2888, 2991, 0.42546348230272446
448, 799, 0.4170661341305708
4722, 4897, 0.35624494689690794
4736, 4897, 0.33583548002154884
3629, 3737, 0.2737637345814144
2391, 2431, 0.2722534129071569
4654, 4897, 0.2367170172123256
2391, 2767, 0.22904640078987096
4976, 5084, 0.20915988928934573
432, 799, 0.20746231186094333
3073, 3193, 0.19636196088915533
3267, 3536, 0.14755165506038767
2543, 2767, 0.13949623518300963
0, 799, 0.13834235571026568
713, 799, 0.11444943633846572
3663, 3737, 0.10521558473325134
448, 590, 0.10388836148990348
4484, 4564, 0.10357991344766747
1512, 1634, 0.09955684406629936
4984, 5034, 0.09912800908169123
3636, 3737, 0.08273664200582337
3292, 3382, 0.06670481675410111
3292, 3737, 0.06192035203131974
0, 348, 0.060824977581083066
5207, 5323, 0.05859863311134013
3457, 3536, 0.054149375531501176
1275, 1439, 0.05365074868016926
2840, 2991, 0.05220149284580281
4976, 5034, 0.050453737939661965
2391, 2445, 0.05044940181844193
0, 255, 0.047505487774811145
432, 590, 0.04549096858914246
2391, 2527, 0.04531668893553623
4221, 4336, 0.04415281547190181
4215, 4564, 0.03919727137658473
4752, 4897, 0.0333595419892297
702, 799, 0.0330395115264632
3302, 3536, 0.03245211039775445
4167, 4336, 0.030621623688843934
3067, 3193, 0.02753487505537977
893, 1010, 0.024300270706672462
1715, 1863, 0.02166338466969076
3108, 3197, 0.021621351230132455
4003, 4123, 0.021317869395303037
3393, 3536, 0.020729281592802445
1288, 1634, 0.019895616363808166
1715, 1766, 0.01878430719648426
3299, 3536, 0.018496225328748613
3267, 3382, 0.01846954351654375
3267, 3737, 0.01782909791008222
4003, 4336, 0.017705487767372005
1715, 2155, 0.017516074093787904
474, 799, 0.01749014562168838
0, 371, 0.017351266994969965
1715, 1901, 0.016900843458388985
2235, 2431, 0.01676324960994109
1275, 1345, 0.015864976820994525
1715, 2137, 0.015828033021879743
4003, 4069, 0.014840089420631272
891, 1176, 0.01469778678576546
2646, 2991, 0.014384062563854421
2391, 2452, 0.01417259714136941
470, 799, 0.013771519690801048
665, 799, 0.013418603272184425
2391, 2991, 0.011936121253654374
4215, 4306, 0.011126994087214445
2106, 2155, 0.010600237936879607
589, 799, 0.010531247054201495
3129, 3193, 0.010444270870554535
891, 996, 0.00997428772669354
1715, 1932, 0.00996218672586914
2281, 2315, 0.009329297213004737
3292, 3453, 0.008796943398641776
2391, 2583, 0.00868597165739627
0, 224, 0.00845579140475724
0, 590, 0.008141993854944926
4237, 4336, 0.008093491958384002
2042, 2155, 0.007846212587349643
2274, 2315, 0.007451003571491136
2042, 2137, 0.00743878794631929
2543, 2991, 0.007269461435895739
2946, 2991, 0.007042767996303882
1715, 1848, 0.006940148885081456
4215, 4391, 0.00684611851795275
1430, 1634, 0.006840392665527116
4215, 4313, 0.006827714572438418
4224, 4336, 0.006290916756898092
4490, 4564, 0.006136358770728197
2391, 2438, 0.005994473664989736
891, 982, 0.005979419495697669
2632, 2767, 0.005946794158065565
4984, 5062, 0.00589477283024211
1155, 1176, 0.005688748232533533
704, 799, 0.005612860529662015
3073, 3197, 0.0056008986979018596
5527, 5600, 0.0053124488499714535
474, 590, 0.005262329801781793
2910, 3193, 0.005123854513978991
2391, 2575, 0.005081749021729287
1125, 1176, 0.005043948939763377
720, 799, 0.005034121671022868
0, 340, 0.004973330938356053
1830, 1913, 0.0048614510166836026
2391, 2514, 0.004812866433611991
2235, 2767, 0.0048018228555179255
931, 1010, 0.004516806635893527
4421, 4564, 0.004446484152617683
891, 964, 0.004429519057822514
1715, 1892, 0.004350496484374005
2888, 3193, 0.004339721820469465
4465, 4897, 0.0041218080391192445
0, 239, 0.00409098079267552
1528, 1634, 0.004074386854183697
470, 590, 0.004039026968770305
3308, 3536, 0.0039816652576847465
3302, 3737, 0.003921283386713388
3305, 3536, 0.003878740367602454
4006, 4076, 0.0037992286964181952
3302, 3382, 0.0037644434204075748
1275, 1638, 0.0035327892407021463
3457, 3737, 0.003465903538454803
2106, 2137, 0.0034191760507759246
